Username,Tweet,Yearly Pay
wisereddragon,"#talkpay I make about $110,000/yr from knights' pockets alone, about $1.2 million/yr from prince and princess ransoms and 5 mil from hoards.","$110,000.00"
sreinstein,2008-2009: $32k (FT) 2009-2010: ~$24k (Freelance) 2010-2013: $35k-55k (FT + Freelance) 2014-2015: $80k-$110k (FT + Freelance) #talkpay,"$110,000.00"
JoelKlettke,"I'll bite: Offered $110k SEO job 2013; turned down to write. Was just shy of that in yr 1, will pass this year. Best decision ever. #talkpay","$110,000.00"
yerdua,About $12K when I moved to CA as a server/barista. A tiny bit more as a photo studio assistant. $110K now as a programmer. #TalkPay,"$110,000.00"
mistersql,"Ah, no one is paying attention anyhow-I make $110k+good benefits-I could crank it up if I job hunted more often. DC rewards hoppers #talkpay","$110,000.00"
ComradeKalinka,"#talkpay I'm a junior software engineer in Silicon Valley. I make $110k a year, plus stock grants. I make far less than my spouse.","$110,000.00"
GRardB,"This is scary as hell, but fuggit. $95k -&gt; $105k -&gt; $110k as a software engineer in New York. #talkpay","$110,000.00"
steveivy,"#talkpay a previous position (not current), remote Python full stack dev for Valley CDN, $110k + stock + bennies","$110,000.00"
radiomorillo,"$8/h campus, $12/h internship, ('08) $48k web dev, ('10) $80k, ('12) $110k, ('14) $80/h + benefits; 29/M/Black-African in tech #talkpay #POC","$110,000.00"
jina,#talkpay UX designer at a ruby-focused app hosting company in SF: $110k + benefits + stock,"$110,000.00"
eps_tvaughan,2013-2014 (after graduation): Software Development Engineer: $100k 2014-present: Software Developer and Analyst: $110k #talkpay,"$110,000.00"
foodgoesinmouth,"#talkpay Cis white male, 29 yrs old, 7-10 yrs experience depending on how you count, PDX, Software Eng., ~$110k combination cash and RSU.","$110,000.00"
AndTheyLoveIt,"#talkpay 2nd job, $110k. I did research around market thanks to @RiviTeam and felt that was my min. Negotiated up the stock options.","$110,000.00"
ertyseidohl,"#talkpay Software Engineer, $100-$110k straight out of college + Recuse Center. 2% raise, 5% bonus @ 6 mo (but at a smallish company).","$110,000.00"
jkap,"#talkpay 2009: $20k 2010: $30k 2013: $60k mid-2013: $85k 2014: $98k 2015: $110k pre-2013 in TLH, 2013+ in MSP","$110,000.00"
radiomorillo,"MOC Designer 2013-2014: $50k in the Northeast 2015: $110k, in the Bay Area #talkpay #POC","$110,000.00"
tableflipclub,"Salesforce in SF. Quality Engineer. Started w/$90k at level1, promoted and given multiple raises. $110k at level 2 w/ 3 years' exp. #talkpay","$110,000.00"
hypercubed,"Before moving to Japan $109k, after &lt;$40k. That's not a typo. Both in USD. #talkpay","$109,000.00"
tableflipclub,"Database developer, female, non profit, 17y experience, Boston area -- $107k #talkpay","$107,000.00"
truebe,"#talkpay Twitter ’09-’14 start: ~$40k trust &amp; safety contractor. finish: $106k operations manager, non-eng.","$106,000.00"
chris_swenson,"$60k/year, with MS in computer science, 2007, DC. Finished Ph.D -&gt; $90k/year 2009, promoted -&gt; $106k/year 2010. #talkpay","$106,000.00"
lashinskynick,"Software sales for 2.5 years, base: $105K, + 15% ACV sold + 0.7% equity vested 4 yrs w/ 1yr cliff. @shanley #talkpay","$105,000.00"
misterinteger,"Java software developer, 2 years experience. $105k/yr. #talkpay","$105,000.00"
tableflipclub,"Boston software engineer, 6 years experience, $105k #talkpay","$105,000.00"
talkpaytalkpay,"#talkpay White male, master's deg, 3 yrs experience, SF, software. First job. Started at $105K with a $25K signing bonus. Did not negotiate.","$105,000.00"
calebthompson,black/male/29/TX/developer $105k #talkpay,"$105,000.00"
radiomorillo,"MOC in Nashville ~10yrs experience, Clojure Dev at startup - $105k #talkpay #POC","$105,000.00"
SysAdm1138,"Sr. Systems Engineer (Linux &amp; Cloud), Northern Virginia. 15ish years experience, $105K base, $10K bonus op. No stock. #talkpay","$105,000.00"
importantshock,"While in college, started internship at $55K/year. Got hired upon graduation, making $81K. By the time I left: $102K +$15K in RSUs. #talkpay","$102,000.00"
tableflipclub,"#talkpay junior front end dev, NYC, $101500 #woc","$101,500.00"
radiomorillo,"#talkpay WOC front end dev in NYC, graduated with CS degrees a year ago: $101,000 #POC","$101,000.00"
seriousallie,Role: Product Designer (UX) Experience: ~3 years Location: Chicago Salary: ~$100k #talkpay @shanley,"$100,000.00"
othiym23,"#talkpay DM ""half white half hispanic male 2006-2010 $25k 2011 $39k 2012 $41k 2013 $50k 2014 $80k 2015 $100k FE eng, but did backend too""","$100,000.00"
WizzyBonezMOB,"$100,000 for a murda dawg so i gotta get it all #talkpay","$100,000.00"
philrowen,"Have not reached $100,000 in TOTAL earnings in my five years writing about games as my only job. #talkpay","$100,000.00"
sophcw,uh like most of the people i've seen on #talkpay make more than $100k,"$100,000.00"
nrose,"As a founder I've not been paying myself, most I've ever made was $100k in 2009 as agency CD #TalkPay","$100,000.00"
gnuconsulting,2009 Synacor Sr. Linux Admin $75k; 2011 Synacor Lead Sysadmin $85k; when I left in 2014 - $100k #talkpay,"$100,000.00"
howtogeek,Most of the $100k+ programmers I’ve worked with over the years weren’t worth half that. Especially me. #talkpay,"$100,000.00"
NickMeharry,"DM: White M, 2005 programmer: $40k. 2015 software architect: $100k. Same company. From #talkpay, seeing similar ppl higher. Huh.","$100,000.00"
tollerton,Role: Product Designer (Visual) Experience: 7 years Location: NYC Salary: $100k #talkpay,"$100,000.00"
MDrollette,#talkpay Engineer 2009-2011: self-employed $75k 2011-2014: bootstrapped startup $50k now: funded startup $100k,"$100,000.00"
welcomebrand,Jesus. #talkpay - where people get $100k+ and don’t apparently even need experience. What world is this?,"$100,000.00"
brennandunn,"First real job I had paid $55k, which I thought was crazy. Learned that job hoping yields higher returns, and was doing $100k+… #talkpay","$100,000.00"
kissane,"1999, webmaster, big consultancy - $32K 2001-2011, freelance editor/nerd - $28-60K 2011, W2 content strategist - $100K #talkpay","$100,000.00"
KuraFire,"Aight, let’s #TalkPay: 2000: Jr. FE dev, Netherlands, €20K ’03–05: FE dev, NL, €22–24K ’06: Apple UK, £48K ’07: Apple CA, $100K","$100,000.00"
ben_brainerd,"How #talkpay appears to me: A bunch of tech folks whining about how they ""only"" make $100k+/year","$100,000.00"
mrrrgane,#talkpay first job out of college: $90k as a programmer. Eventually raised to $100k. wasn't worth how much I hated the work,"$100,000.00"
rcoder,Got my first tech job in 2000: media production assistant. Went from temp to FT @ $27k w/o benefits. Didn't break $100k until 2011. #talkpay,"$100,000.00"
othiym23,"#talkpay DM ""sr front end dev in the Washington, DC area. 5 yrs. at current company, $100k w/ full health care &amp; 401(k) matching."" (1/3)","$100,000.00"
gewt,was a small voip provider's (grossing &lt; $1mil) only sysadmin for $39k/yr. marketing made $100k #talkpay,"$100,000.00"
CaseyG,You get $100k! And YOU get $100k! And YOU get $100k! #talkpay,"$100,000.00"
akalindsey,"Since I've worked as a UX/product designer my salary has ranged from $70k to $100k, depending on if I'm full time or consulting #talkpay","$100,000.00"
houghtelin,#talkpay I'm a remote back end developer &amp; devop mostly writing php. Employer+Consulting I made ~$80k last year. Staged for ~$100k this yr,"$100,000.00"
othiym23,"#talkpay DM ""$100k senior JS dev @ startup, work remote, 7 years exp. cis het WM""","$100,000.00"
TimKrajcar,"Something to think about: If you make $100K USD/yr (not counting ANY benefits), you make more than 99.92% of the world. #talkpay (2/3)","$100,000.00"
hupfen,"Seems #talkpay is a thing today, so I’ll repost my story: Short version: $90k-ish, requiring $100k+ for next job.","$100,000.00"
AeornFlippout,"#talkpay: In midwest game industry 3 yrs ago, was making $100k or so + benefits w/ 7 yrs of ""above avg"" programming work (cs. degree.)","$100,000.00"
jedgar,Interesting that I don't see many devs making over $100k posting to #talkpay - weird because I hear them bragging often IRL.,"$100,000.00"
McMillanSean,"So, we're going to #talkpay now? I make $80k/yr. I made more last year when I was contracting, but &lt; $100k.","$100,000.00"
grmpyprogrammer,"#talkpay Went $55k/yr up to $75k/yr 2005 to 2011, started writing books, topped $100k total in 2013 (remote starting 2006)","$100,000.00"
modernserf,"Engineer, NYC, 3 years experience. $100k #talkpay","$100,000.00"
radiomorillo,#WOC UX professional (in USD): Year 1: $37000 Year 2: $100000 Year 3: $100000 Year 4: $100000 Year 5: $100000 #talkpay,"$100,000.00"
plragde,"As a quasi-public employee in Ontario earning over $100,000, my salary has been easily found on the Web for fifteen years now. #talkpay","$100,000.00"
garannm,"Up to $100k switching jobs meant a $10-20k pay increase. Then spent 3yrs, 3 different co's at $100k as a dev w/ 10-13yrs experience #talkpay","$100,000.00"
JamoneK,Looking at #talkpay makes me want a remote SWE job earning $100k+/year,"$100,000.00"
JJoeDouglas,#talkpay Software Eng 2012: $65k Software Eng II 2013: $77k Senior Eng 2014: $93k Senior Eng 2015: $99k,"$99,000.00"
jimevansmusic,"In 2012, I was let go from my last job, at the time I made $98k/yr. Privately held corporation, some equity. #talkpay","$98,000.00"
jobsintechio,"Next year(2016), on average newly immigrant software developers in San Francisco are going to make $98k #facts #tech #salary #talkpay","$98,000.00"
nate_smith,#talkpay cishetwhiteman. 9yrs exp with web. CS BA. PDX. $97k. embarrassed by how much I make. went from minimum wage -&gt; 35k-&gt;75k-&gt;95k.,"$97,000.00"
radiomorillo,"Salary: $96,555, Race: Black, Gender: 32 yo Woman, Location: Washington, DC, Career: Civil Engineer #POC #talkpay","$96,555.00"
adamjaywells,Locomotive Engineer. 2014: $96K #talkpay,"$96,000.00"
the_mckern,"15 years of SysAdmin experience, and open source contributions landed $96k as a Release Engineer when I changed tracks #talkpay","$96,000.00"
danielpunkass,"I made $50K in 1996, 20 years old at Apple. I left in 2002, making $95K. I haven’t been paid a normal salary since. #TalkPay","$95,000.00"
JunkyardSam,Related to #talkpay &gt; I married into a $95k student loan that my wife was ill-advised to take out for schooling when she was young. Ouch.,"$95,000.00"
dhgwilliam,"DevOps Toolchain Engineer (consultant) -$95k plus 5-9% bonus (2015, PDX) #talkpay","$95,000.00"
wakeupmrkim,"#talkpay asian-american, male 2014 - $85k, $95k in-agency designer 2013 - $75k in-agency designer 2011 - $50k, $60k in-house designer","$95,000.00"
KuraFire,"My #TalkPay continued: 2011: Product designer at SF startup (12 ppl), $95K + took care of my O-1 visa + very non-binding contract.","$95,000.00"
othiym23,"#talkpay DM ""Female software engineer, Filipino, 4yrs exp. $95k in SF.""","$95,000.00"
dwlz,"#talkpay 1st job out of college: $65k/yr in LA. Raised to $75k. When I wanted to quit, they offered $95k for me to stay.","$95,000.00"
radiomorillo,"Mixed race cis male, software dev/consultant, 5+ yrs exp. in Boston area, $80k + consistent bonuses (closer to $95k overall) #talkpay #POC","$95,000.00"
EricaJoy,"#talkpay My base salary was $95,000/yr at Google. Highest for my ladder/level but still ~$20K less than other eng ladders at the same level.","$95,000.00"
kwuchu,"#talkpay $83,000/year base salary. $95k if you include bonuses. Austin, TX. 2 summers of work experience. 4.5 years of research experience.","$95,000.00"
tuxedo_and_sass,"#talkpay cishet white dude, fresh out of college doing QA in greater seattle area. Started at $72k, annual raises to $94.5k over 3 years.","$94,500.00"
wesleytodd,"#talkpay ""Average gross compensation increased nearly 21% year over year, from $77,760 in 2012 to $93,981 in 2013""","$93,981.00"
yesthataimee,Mid-Level Tech worker reporting in: $92.5K (US) Scared to ask for more because stigmatized invisible disability. #talkpay,"$92,500.00"
spaceninja,"Sr Front-End Dev, Marketing, 100+ person startup, 13yrs exp, $92.5k #talkpay","$92,500.00"
valrus,"I'm a senior software developer after about 4 years at my first tech job, local in Seattle. I make $92,400/year. #talkpay","$92,400.00"
radiomorillo,"Asian, East Coast, not out as trans @ work, read as female, software dev, $50K 2007, Jr. engineer, $65K, 2012, Sr. engineer, $92K #talkpay","$92,000.00"
netcrusher88,Enterprise Network Engineer for a network device manufacturer in Seattle. 7.5 years experience. $92k plus stock/bonus = ~135-140k. #talkpay,"$92,000.00"
jobsintechio,Next year (2016) new immigrant software developers in #NYC will make on average $91k #talkpay #jobsintech #facts,"$91,000.00"
erinlynch,"First year, my own small studio: $60k, year 2: $90k #talkpay","$90,000.00"
othiym23,"#talkpay DM ""Female Engineer: 2000 $45k TX 2007 $70k TX 2014 $90k AL 2015 TBD""","$90,000.00"
danaflops,"#talkpay because this is important: As an IT engineer with 7 years at my current job, 18 in the industry I'm making $90k/year plus bonus.","$90,000.00"
othiym23,"#talkpay DM ""white cis male, college, infosec 2011-2012: full-stack $36k/yr 2013-2015: full-stack $90k/yr""","$90,000.00"
ninavizz,"2005 VisDe for major tech co: ~$70k 2009 UX Lead, startup: $90k 2011 UX Lead, major tech co: ~$110-125k base w/ bonus optys #talkpay","$90,000.00"
BradOFarrell,Ok fine #talkpay: I'm making ~$90k but with SF rent I'm living paycheck-to-paycheck. 4 years ago I was making ~$30k. Side projects add value,"$90,000.00"
issackelly,"DM: #talkpay. Web developer / Boulder, CO / white male / 5 yrs experience / $90k","$90,000.00"
NickMeharry,Here's mine: $90k for 6mo $60k for 18 mo $80k for 6mo ~$120 last 6mo I'm a white male working at a 5yo startup with ~.75% options #talkpay,"$90,000.00"
stackptr,"Software engineer in San Francisco, recent graduate. I make $90k/yr #talkpay","$90,000.00"
cmzhang,#talkpay agency: 65k(2012); startup: $90k(2012-13); financeTech: 95k+bonus(2014); current: $0 because I want my soul and creativity back.,"$90,000.00"
julia_allyce,"Self Taught 2013: JS/PHP dev $35k 2014: JS dev $45k, JS dev $68k &gt; JS lead $75K &gt; dev manager no raise 2015: remote JS $90k #talkpay","$90,000.00"
no_reply,"Last year I moved to my current position with a Boston-based non-profit, as a technical architect/metadata expert @ $90k. #talkpay","$90,000.00"
pete_higgins,"#talkpay Switched jobs, got bumped to $90k. Had to ask for a raise multiple times and got up to 95k, I think.","$90,000.00"
brownleej,"#talkpay Two years after starting, promoted to team lead and bumped to $90K","$90,000.00"
othiym23,"#talkpay DM ""non-SF California, $90k, white female, full stack, 2yr. Quit last job when saw new (woman) bootcamp grads making more than me""","$90,000.00"
makmanalp,"$72.5k at KAYAK, $90k at CustomMade, took an academia cut to $65k at Harvard, got a raise up to $72k. #talkpay","$90,000.00"
erynofwales,"That $90k was in addition to stock grants, ESPP, 401k matching, and other benefits… #talkpay","$90,000.00"
erynofwales,I got a job at a Silicon Valley company. They offered $90k at the outset. It was a bigger figure than I’d ever seen before. #talkpay,"$90,000.00"
radiomorillo,"Native American UI Designer, DC based company $90k #talkpay #POC","$90,000.00"
sanxiyn,"#talkpay 2013 Senior Software Engineer at Samsung Electronics Suwon office, 6y experience. Worked on Rust. 95M KRW = $88k/yr.","$88,000.00"
cheeseplus,2007 - game releng $45k (1st full time) 2009 - sysadmin for Uni $53k 2010 - game releng $67k (laid off) 2012 - devops stuff $87k #talkpay,"$87,000.00"
simrob,"#talkpay 2012, Teaching Postdoc, $68k (12mo) 2013, Assistant Teaching Professor, $78k (9mo) 2015, Assistant Teaching Professor, $87k (9mo)","$87,000.00"
bkero,"2015, PDX, senior software engineer (w/ 10 years experience). BS CS. $87000 #talkpay","$87,000.00"
_achiang,"1st job out of undergrad: $55K as QA engineer (2002); 8 years later (2010), $87K as Linux developer (same co.), in TX and CO #talkpay","$87,000.00"
feministy,"PDX, software eng 2 (of 4), $87k, RSU bonus, options. 1 yr full stack web dev, 10 yrs HTML/CSS/design exp prev. BA, MA (not CS) #talkpay","$87,000.00"
jina,"#talkpay Visual Interaction Designer at Apple, started w/ $84k + benefits from transferring teams; ended at $87k + RSU (never vested)","$87,000.00"
zrail,"Alright #talkpay, let's do this (white male 31yro). 2007 PDX: straight out of college, $58k 2011 PDX: $87k 2012 PDX: $82k + bonus","$87,000.00"
satsukitv,worked w/ two startups doing All Things Dev/IT for 6+ yrs salary between $45k and $68k. now remote dev $86k at a growing co. #talkpay,"$86,000.00"
escowles,"2015: senior dev at academic library, $86k #talkpay","$86,000.00"
therabidbanana,#talkpay: currently making $86k/yr (+equity) at an SF startup as a Senior Software Engineer.,"$86,000.00"
evilchili,"Cis white male, no college. 1996 helpdesk, programmer, 21-27k. 2003 IT $37k USD. 2008 IT $85K 2011 IT 100K 2014 104K. 2015 Ssshhhh #TalkPay","$85,000.00"
tranhelen,"After years of $30k, at a new job I asked for $85k only to find out later my male counterpart made $20k more for the same work #talkpay","$85,000.00"
kerrizor,"Anon. post for #talkpay: ""tech business owner; medium midwest market; $0-$85k, currently $65k""","$85,000.00"
pizzaops,"2014-2015: Professional Services Engineer at @puppetlabs - $85,000 #talkpay","$85,000.00"
mikey_p,"Senior dev at bay area non-profit $85k plus benefits and very generous 401k matching, 2013 #talkpay","$85,000.00"
mcmoots,"#talkpay Bumped to $85k after ~ a year when my title was changed to ""data scientist"". One performance raise later, I quit at $87.5k.","$85,000.00"
othiym23,"#talkpay DM ""Front End Dev. 15 yrs experience. $85K + benefits. Tech company. Not in SF. Cis/het/white/woman.""","$85,000.00"
jensimmons,"My 1st tech industry full-time-employee Wall St job, $85k in 2010. Found out people I was training were getting twice that. I quit. #talkpay","$85,000.00"
EccentricTomboy,"And I'm a public sector employee - in private sector I could expect $85k, easy, and never have to job-hunt b/c of headhunters. #talkpay","$85,000.00"
othiym23,"#talkpay DM ""server-side Java Developer, Denver, CO, $85k with 5 years experience.""","$85,000.00"
radiomorillo,"Honduran male, Front end dev in LA $85k #talkpay #POC","$85,000.00"
dddagradi,#talkpay Got offer in 09 for SF tech company at $85k. That would have been my first technical gig.,"$85,000.00"
tehawesomersace,"Director of logistics department, DoD $85k a year. Ten years experience including six years active duty Army. BA in History #talkpay #woc","$85,000.00"
_prakash,"Since rebooting my career in 2010 to become a freelance ruby developer, I averaged ~$55K per year. On target for $85K+ this year. #talkpay","$85,000.00"
kivikakk,#talkpay senior software developer at a web agency (6y exp). Take care of a fair bit of fire-fighting and ’harder’ projects. $85k/y (AUD),"$85,000.00"
tehgeekmeister,"not comfortable sharing about current employer, but was at $85k at a previous company, with just over two years experience. #talkpay","$85,000.00"
emarcroft,"Operations/Finance/General Startup Ace, 14 years experience, currently at 4th FT Bay Area startup job $85k/yr. #talkpay","$85,000.00"
AndTheyLoveIt,"#talkpay 1st job out of college $84.5k, felt like it was low but I only had 1 internship experience before","$84,500.00"
whoisaldeka,"Minimum legal programmer salary under California law in 2015: $84,130.56. #talkpay (Disclaimer: not a lawyer.)","$84,130.00"
misterfeeney,"#talkpay (21, white, male, SF) First year @Buffer: $71,500 Currently @Buffer: $84,000 Here are all our salaries:","$84,000.00"
jina,#talkpay Interaction Designer for a NY design agency (remote from SF): $84k with free lunch + Internet + mobile and some benefits,"$84,000.00"
jina,"#talkpay CSS architect for Apple Online Store in Cupertino in 2007: $70k with benefits, then a raise to $84k.","$84,000.00"
othiym23,"#talkpay DM ""$83k, Chicago, 8yrs experience, Puerto Rican, Software engineer. Don't feel well compensated.""","$83,000.00"
thesleepyvegan,"#talkpay 2011: $67k, sw dev ~4 yrs exp. had to reapply for my team to get to promotion, after helping write that job posting. 2012: ~$83k","$83,000.00"
radiomorillo,"Base Salary – $83,000. Software Engineer. Man of Color in Austin, TX. Fresh out of college. #talkpay #POC","$83,000.00"
othiym23,"#talkpay DM ""UI engineer, 2yr exp, cis white female, PDX, 2014 (startup): $60k, 2015 (sm/mid-size co): $82k""","$82,000.00"
whoisaldeka,"First fullstack webdev job after finishing master's, 2012. SF tech company. Offered $80k, negotiated b/c ""women don't ask"" to $82k. #talkpay","$82,000.00"
twiterlessme,2004: $12k 2005: $6k 2006: $3k 2007: $38k 2008: $30k 2009: $0k 2010: $34k 2011: $56k 2012: $60k 2013: $70k 2014: $79k 2015: $82k #talkpay,"$82,000.00"
twiterlessme,"Got laid off in 2008, new EE job in 2010 started at $44k, now at $82k #talkpay","$82,000.00"
jbrains,I had to quit my job at IBM because they wouldn't raise my salary any higher (from $82k in 2001) without making me a manager. #talkpay,"$82,000.00"
tobyfee,Planning to move from Sr. Support Engineer to Jr. Software Engineer means planning to from $82k to $60k for a couple years. #talkpay,"$82,000.00"
everydaydude,"#talkpay Twitter ’10-’14 start: $50k @Support contractor. finish: $81K Social Media Manager, @Twitter/@twittercomms.","$81,000.00"
othiym23,"#talkpay DM ""UX Design 3.5 years, 29/f/white/CA 2012: $55k 2013: $65k 2014: $70k 2015: $80k paid vaca/full benefits, no stock or 401k match""","$80,000.00"
cvillian098,"backend web developer with a software engineer title in the nova/dc area, $80k #talkpay","$80,000.00"
ericlaw,#talkpay: Told a college g/f I expected to peak at ~$80K after 10 years in tech. Got dumped on account of my lack of ambition.,"$80,000.00"
lianafaye,"White female, 30s, computational biology PhD. &lt;$30k in my 20s (grad school), $36-50k as postdoc, now $80k as a fellow at Berkeley. #talkpay","$80,000.00"
bradsimantel,"I started off in tech in 2013 as Junior Front-End Developer making $40k, current title is Software Engineer II and make $80k. #pdx #talkpay","$80,000.00"
jdavidh97,"#talkpay is a fascinating topic - As a Data Scientist with a physics PhD, I've had recruiters quote numbers from $80k-250+ for similar jobs","$80,000.00"
tylertringas,"#talkpay My first job in 2008/09 at a startup consulting firm I made $42k, $60k, $80k. Quit job: $50k (consulting), $0k (startup) ..","$80,000.00"
bibliotechy,"05-07, 3 PT Librarian jobs: £25K 07-13, library web dev: £38K-$55K 14, DevOps @ library vendor: $68 15, grant funded OS dev: $80K #talkpay","$80,000.00"
hirishitalkies,Most of the people tweeting to #talkpay are white men who make over $80k a year. Very difficult for others to disclose in that environment.,"$80,000.00"
chrisjaure,"At my previous crappy job in WI, I made ~$30k as a front-end dev. Now I make ~$80k working remote. #talkpay","$80,000.00"
u2622,"Remote software developer for Toronto company. CAD$80k w/ unlimited vacation. 8 years professional experience, 15 years hobby exp. #talkpay","$80,000.00"
ipetepete,1st year out of college: $30k+0 ins freelancing web dev. Second year I made $80k. My salary hasn't increased in 4 years $70k + ins #talkpay,"$80,000.00"
spaceninja,"Sr Front-End Dev, 100+ person startup, 14yrs exp, $80k + up to 10% bonus #talkpay","$80,000.00"
spaceninja,"Creative Director at 50+ person agency, 0yrs mgmt exp, 12yrs dev exp, $80k #talkpay","$80,000.00"
branan,"Software engineer, 0yrs direct experience with 3yrs as a QE and nearly a decade of open source contributions: $80k #talkpay","$80,000.00"
escowles,"2005: back on hard money, $70k-$80k #talkpay","$80,000.00"
ericholscher,"Now for May 1st: Last job I had (2013) I made $80k/yr, python software developer with 5 years of experience in Portland. #talkpay","$80,000.00"
raytiley,"$80,000, remote worker, white, male, masters degree in software engineering, ~6 years experience. #talkpay","$80,000.00"
divya,"Was paid $80k in 2009 for being a web developer at an agency. Then 100k as a dev advocate in 2011, now earn approx 50% more. #talkpay","$80,000.00"
jinkwell,Left community mgr roles. Knew they had limited ceilings of no more than $80K. Could earn more as digital mgr or strategist. #talkpay,"$80,000.00"
samhouston,Looking at #talkpay and it's a bit depressing to see a lot of developers with similar a years of exp as me making $80k+ more than me,"$80,000.00"
cppcabrera,"To add data to #talkpay, I'll include former roles: * Software Dev 2 * 2yrs tech, 7yrs MS CS * Austin, TX * $80k/yr","$80,000.00"
ericholscher,"Last job I had (2013) I made $80k/yr, python software developer with 5 years of experience in Portland. #talkpay","$80,000.00"
jackyalcine,"#talkpay full stack web developer, last year was $80k but now freelancing","$80,000.00"
EntirelyAmelia,"First software engineering job (was pre-transition and self-taught), started at $55k in 2008. Left in 2014 at $78k. #talkpay","$78,000.00"
briankung,#talkpay: I'm a web developer who just accepted a $78k/yr offer. Student loans at $7k from $15k at graduation. I went to community college.,"$78,000.00"
drab_makyo,"is pretty interesting. #talkpay $77k - FOSS developer, northern Colorado.","$77,000.00"
arrpavlov,"Let's #talkpay 1st job: $42,000/yr 2nd: $62k/yr 3rd:$70k/yr Current: $77k/yr All work done in Toronto, all with full benefits.","$77,000.00"
feministy,"10 yrs HTML/CSS/design exp before my first software eng job doing Ruby/Rails (2013). Chicago, satellite office, $77k w/equity. #talkpay","$77,000.00"
juliepagano,IBM bumped me to $77k/year in late 2012 as part of normalizing salaries. I quit a few days later to work at google. #talkpay,"$77,000.00"
gabbyhon,"When I left my fulltime job in 2008, I was making $76,500/year, with 8 years experience in UX. #talkpay","$76,500.00"
scottelundgren,"#talkpay dev &amp; ops 2009 - 2012 - .edu, $76K, Charlotte public university pay data is public want to be paid more? leave","$76,000.00"
frameslip,"#talkpay $75k, no options, euro male-presenting software engineer, 4y experience, semi-unrelated degree, seattle.","$75,000.00"
othiym23,"#talkpay DM ""25/Sri Lankan/Male/Frontend 2013: $30k paid intern 2014: $50k, no 401k or options 2015: $75k no options 4% match 401k""","$75,000.00"
InvisibleJimBSH,#talkpay attempt by rabbid feminists to whine about the pay gap $75k+ per year and whining like babies. Salaries 99% of people cant dream of,"$75,000.00"
karmajunkie,"that may be ok by you, b/c there are valid reasons to take less, but do not let your employer tell you that market is $75k. (2/2) #talkpay","$75,000.00"
garbados,"#talkpay 1st dev job: $50k/yr 2nd dev job: $60k/yr 3rd dev job: $75k/yr all pre-t, tho","$75,000.00"
farshadatis,"About 1 year ago I immigrated to US, my first job was around $35K as web designer, my second job as UX designer is around $75K #talkpay","$75,000.00"
zippy1981,Needed to get a real job again $65k for ETL development bumped to $75k in Suffolkk County #talkpay,"$75,000.00"
pizzaops,"2014x2: Senior Support Engineer at @puppetlabs - $75,000 #talkpay","$75,000.00"
kneyght,evidently all you need is $75k to feel the happiest? #talkpay,"$75,000.00"
HaunaniPao,"#Talkpay of career: 1994 - $31K + bonus as programmer, 2002 - $75K as Interaction designer, Now - $1XX,000 as UX design/strategy consultant.","$75,000.00"
othiym23,"#talkpay DM ""4-7yr exp (depending if you ignore working in college), software engineer, DC area white lady, $75K""","$75,000.00"
scottelundgren,"#talkpay 1998 - cs undgrad, first job $42K, $7K signing, walked from $10K retention, memphis 1999 - .com, $75K, options, San Francisco","$75,000.00"
Valette,I'm an Administrative and Procurement Manager with 7+yrs governmental experience and I make $75k a year. #talkpay,"$75,000.00"
the_mckern,"When I left TMW in '13 as SysAdmin, I left at $75k/year #talkpay","$75,000.00"
iamunr,"#talkpay Started around $25k on contract. First fulltime gig at $35. Two years of raises until $62k. Tried to leave, matched $75k now.","$75,000.00"
lsblakk,Then I got bumped to $75K/yr just for moving from Toronto to SF. That more than covered the rent increase. #talkpay,"$75,000.00"
kerrizor,My next job after that I made $75k/year as a startup #talkpay,"$75,000.00"
Chzn8r,"It's #talkpay Friday, so here goes. Job #1 after B.S. in Comp Sci, Mountain View startup earning $75K as Jr Software Dev (2010)","$75,000.00"
StarKat99,"I feel lucky I started out my current job after college on contract $50K, now $75K after full-time salaried #talkpay","$75,000.00"
agjhnsn,"My last job in Portland, ending last year, was $75k for an operations engineer role with development focus, 5 years exp #talkpay","$75,000.00"
seanwolter,#talkpay @theMobileMakers say a junior mobile developer makes about $75k in Chicago. Scroll to “what does a career…”,"$75,000.00"
tmacdotio,"You know what? Let's do salary transparency. Full stack web development, $75k/yr. #talkpay #transparency","$75,000.00"
anarchivist,"#talkpay 2008-2010: application developer, large research/public library. $70K-$75K.","$75,000.00"
brendanl79,"#talkpay Boston-area software developer (mostly Java/C++), hired at $75K in 2008 with BS in CS &amp; 5-7 years semi-related experience","$75,000.00"
stillmoms,"That was 2008. 2009: $45K. 2010: $55K. 2011: $66K. 2012: $71K. 2013: $74K. Surprise let-go in 2014, 1mo before review time. #talkpay","$74,000.00"
AK_Doug,"Hello there #talkpay I am a Programmer Analyst in Anchorage AK with 9 years experience, and I make $74k/year.","$74,000.00"
samhogg,"#talkpay last job, UX designer, $74k pa + 4k bonus current job: designer/engineer, same + shares + bonus AKL, NZ","$74,000.00"
WiNF_Randy,"White Male Mobile SWE 6 years out of college Base: $73k Bonus: 9% +Benefits (Medical,Retirement) Remaining Student Loans: 80k+ #talkpay","$73,000.00"
kb,"2007, grad school dropout: $34k. 2008, first junior web job: $40k. 2009, promotion: $55k. 2011, senior web job: $70k. Now $73k. #talkpay","$73,000.00"
